date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2020/8/31,99.8695,99.9282,97.8158,97.982,98.484,14206002,-2.51,-2.5231,1430589480
2020/9/1,97.3561,98.6482,96.8574,97.9331,97.7393,11595454,-0.05,-0.048898,1158657110
2020/9/2,97.7473,99.6935,97.3659,99.4098,98.9397,14450876,1.508,1.4767,1461710670
2020/9/3,101.043,102.6762,98.4221,99.0969,100.3102,23256019,-0.315,-0.312947,2385032040
2020/9/4,101.757,102.8914,99.136,101.2386,101.0241,26317672,2.161,2.1417,2718192370
2020/9/8,100.7105,101.2875,97.2877,97.718,98.2787,22090210,-3.478,-3.5207,2219377860
2020/9/9,98.5786,99.449,97.3659,98.647,98.651,13431508,0.951,0.929063,1354664060
2020/9/10,99.1654,100.1629,97.4441,97.63,98.2982,15913733,-1.031,-1.0171,1599635290
2020/9/11,97.7669,99.1262,97.3952,98.8426,98.3608,13776949,1.242,1.2127,1386071080
2020/9/14,99.2729,101.18,99.136,100.2118,100.2778,19016050,1.385,1.3691,1949791900
2020/9/15,100.466,100.5834,96.9552,97.0921,98.2087,23658185,-3.113,-3.1197,2376047550
2020/9/16,97.2388,98.9013,96.5835,97.5028,97.9323,19267925,0.423,0.410744,1929388930
2020/9/17,96.5249,97.154,95.5567,96.3879,96.1935,18280651,-1.143,-1.1149,1797822170
2020/9/18,95.7327,97.2974,95.2926,96.1826,96.2144,20115211,-0.213,-0.205372,1980178110
2020/9/21,93.102,93.9333,91.7524,93.2096,92.5921,28371916,-3.091,-2.973,2685398260
2020/9/22,92.8673,93.5518,91.6057,92.1925,92.1534,19232202,-1.091,-1.0171,1812129740
2020/9/23,92.6912,93.2487,90.6196,90.6962,91.4599,19936114,-1.623,-1.4963,1864411620
2020/9/24,90.2855,92.2218,89.3662,90.618,90.5793,18343091,-0.086,-0.078236,1698753160
2020/9/25,90.0214,91.6497,89.8454,91.4101,90.7458,13285000,0.874,0.79215,1234908930
2020/9/28,92.9651,94.7939,92.2707,94.0408,93.7863,20885496,2.878,2.6307,2001191620
2020/9/29,93.9137,93.9137,92.2531,93.2487,93.133,12848150,-0.842,-0.792149,1223497150
2020/9/30,93.2487,95.0555,93.1607,94.1484,94.227,16385158,0.965,0.899726,1578631720
2020/10/1,94.9797,95.6154,93.9137,94.833,94.6306,15776311,0.727,0.684573,1526424870
2020/10/2,93.1509,96.4173,92.9944,95.7327,95.2008,15133785,0.949,0.899725,1473204290
2020/10/5,97.0455,97.9634,96.2657,97.7561,97.4438,13865598,2.114,2.0234,1368764020
